iotDevice0	2,932286	2,466696784						
iotDevice1	2,696755	0,051297638045268			7	1,5	10	1,4142135623731
iotDevice2	2,544842				5		9	
iotDevice3	2,504481				6		11	
iotDevice4	2,491802				6		12	
iotDevice5	2,43617				4		8	
iotDevice6	2,492774				6			
iotDevice7	2,491095				8			
iotDevice8	2,501567				6			
iotDevice9	2,474031				9			
iotDevice10	2,444227				3			
iotDevice11	2,457994							
iotDevice12	2,491786							
iotDevice13	2,437813							
iotDevice14	2,49296							
iotDevice15	2,468018							
iotDevice16	2,500923							
iotDevice17	2,456571							
iotDevice18	2,45116							
iotDevice19	2,481437							
iotDevice20	2,490343							
iotDevice21	2,479117							
iotDevice22	2,463584							
iotDevice23	2,454702							
iotDevice24	2,465696							
iotDevice25	2,447035							
iotDevice26	2,441449							
iotDevice27	2,467591							
iotDevice28	2,446405							
iotDevice29	2,495872							
iotDevice30	2,486649							
iotDevice31	2,466044							
iotDevice32	2,457663							
iotDevice33	2,469817							
iotDevice34	2,458978							
iotDevice35	2,534251							
iotDevice36	2,483451							
iotDevice37	2,45208							
iotDevice38	2,444771							
iotDevice39	2,441321							
iotDevice40	2,466831							
iotDevice41	2,636211							
iotDevice42	2,437719							
iotDevice43	2,457273							
iotDevice44	2,445956							
iotDevice45	2,454992							
iotDevice46	2,455255							
iotDevice47	2,446319							
iotDevice48	2,476733							
iotDevice49	2,452323							
iotDevice50	2,451182							
iotDevice51	2,456764							
iotDevice52	2,464905							
iotDevice53	2,4686							
iotDevice54	2,502812							
iotDevice55	2,446202							
iotDevice56	2,450501							
iotDevice57	2,496463							
iotDevice58	2,558173							
iotDevice59	2,492009							
iotDevice60	2,44763							
iotDevice61	2,498364							
iotDevice62	2,452231							
iotDevice63	2,466824							
iotDevice64	2,479305							
iotDevice65	2,44769							
iotDevice66	2,446861							
iotDevice67	2,457461							
iotDevice68	2,427989							
iotDevice69	2,469864							
iotDevice70	2,423428							
iotDevice71	2,504503							
iotDevice72	2,50894							
iotDevice73	2,492482							
iotDevice74	2,431645							
iotDevice75	2,482722							
iotDevice76	2,413954							
iotDevice77	2,481456							
iotDevice78	2,447719							
iotDevice79	2,465085							
iotDevice80	2,466599							
iotDevice81	2,483247							
iotDevice82	2,456815							
iotDevice83	2,487838							
iotDevice84	2,421951							
iotDevice85	2,476694							
iotDevice86	2,424543							
iotDevice87	2,47747							
iotDevice88	2,404333							
iotDevice89	2,648347							
iotDevice90	2,434484							
iotDevice91	2,664538							
iotDevice92	2,568361							
iotDevice93	2,435745							
iotDevice94	2,483259							
iotDevice95	2,430582							
iotDevice96	2,491916							
iotDevice97	2,471558							
iotDevice98	2,469445							
iotDevice99	2,458822							
iotDevice100	2,455764							
iotDevice101	2,458663							
iotDevice102	2,460153							
iotDevice103	2,491216							
iotDevice104	2,444851							
iotDevice105	2,447657							
iotDevice106	2,435907							
iotDevice107	2,469737							
iotDevice108	2,48277							
iotDevice109	2,53764							
iotDevice110	2,431423							
iotDevice111	2,512098							
iotDevice112	2,478125							
iotDevice113	2,480316							
iotDevice114	2,461312							
iotDevice115	2,500369							
iotDevice116	2,448958							
iotDevice117	2,468393							
iotDevice118	2,445174							
iotDevice119	2,45845							
iotDevice120	2,44898							
iotDevice121	2,467343							
