fetch-0;0,070376
fetch-1;0,063328
fetch-2;0,057753
fetch-3;0,056482
fetch-4;0,057586
fetch-5;0,055020
fetch-6;0,059172
fetch-7;0,059124
fetch-8;0,057211
fetch-9;0,087784
fetch-10;0,060372
fetch-11;0,059184
fetch-12;0,056648
fetch-13;0,061015
fetch-14;0,057261
fetch-15;0,060719
fetch-16;0,058061
fetch-17;0,062853
fetch-18;0,056967
fetch-19;0,056455
fetch-20;0,058185
fetch-21;0,059774
fetch-22;0,059027
fetch-23;0,060170
fetch-24;0,061301
fetch-25;0,055929
fetch-26;0,056814
fetch-27;0,057737
fetch-28;0,059321
fetch-29;0,057184
fetch-30;0,057042
fetch-31;0,057698
fetch-32;0,056245
fetch-33;0,060183
fetch-34;0,058262
fetch-35;0,059023
fetch-36;0,056596
fetch-37;0,057161
fetch-38;0,058622
fetch-39;0,058647
fetch-40;0,054570
fetch-41;0,058127
fetch-42;0,060277
fetch-43;0,058318
fetch-44;0,060486
fetch-45;0,058243
fetch-46;0,059676
fetch-47;0,059717
fetch-48;0,061694
fetch-49;0,134007
fetch-50;0,061365
fetch-51;0,066393
fetch-52;0,060070
fetch-53;0,057980
fetch-54;0,057590
fetch-55;0,057021
fetch-56;0,057317
fetch-57;0,058775
fetch-58;0,059920
fetch-59;0,062027
fetch-60;0,057200
fetch-61;0,058849
fetch-62;0,063341
fetch-63;0,057822
fetch-64;0,058073
fetch-65;0,059185
fetch-66;0,058864
fetch-67;0,056863
fetch-68;0,060227
fetch-69;0,057800
fetch-70;0,056696
fetch-71;0,057826
fetch-72;0,057601
fetch-73;0,060240
fetch-74;0,058486
fetch-75;0,058630
fetch-76;0,058177
fetch-77;0,060311
fetch-78;0,065562
fetch-79;0,061715
fetch-80;0,061243
fetch-81;0,057165
fetch-82;0,058265
fetch-83;0,063315
fetch-84;0,057761
fetch-85;0,058613
fetch-86;0,059337
fetch-87;0,059971
fetch-88;0,058653
fetch-89;0,058146
fetch-90;0,056780
fetch-91;0,057148
fetch-92;0,059630
fetch-93;0,056655
fetch-94;0,063061
fetch-95;0,059408
fetch-96;0,058995
fetch-97;0,058756
fetch-98;0,057078
fetch-99;0,060937
fetch-100;0,061840
fetch-101;0,059654
fetch-102;0,060934
fetch-103;0,059811
fetch-104;0,060448
fetch-105;0,067101
fetch-106;0,057183
fetch-107;0,063314
fetch-108;0,059244
fetch-109;0,060035
fetch-110;0,061121
fetch-111;0,058953
fetch-112;0,061246
fetch-113;0,060446
fetch-114;0,064382
fetch-115;0,066391
fetch-116;0,063543
fetch-117;0,057332
fetch-118;0,057772
fetch-119;0,057786
fetch-120;0,061495
fetch-121;0,066444
fetch-122;0,063728
fetch-123;0,058174
fetch-124;0,087888
fetch-125;0,079755
fetch-126;0,057758
fetch-127;0,060783
fetch-128;0,065963
fetch-129;0,080088
fetch-130;0,066712
fetch-131;0,061670
fetch-132;0,059145
fetch-133;0,055741
fetch-134;0,061331
fetch-135;0,054689
fetch-136;0,060417
fetch-137;0,056764
fetch-138;0,056786
fetch-139;0,066402
fetch-140;0,068054
fetch-141;0,060793
fetch-142;0,061581
fetch-143;0,067029
fetch-144;0,061100
fetch-145;0,058357
fetch-146;0,058573
fetch-147;0,064071
fetch-148;0,063911
fetch-149;0,062415
fetch-150;0,055952
fetch-151;0,059722
fetch-152;0,058665
fetch-153;0,059373
fetch-154;0,057601
fetch-155;0,056045
fetch-156;0,062408
fetch-157;0,061914
fetch-158;0,057995
fetch-159;0,059348
fetch-160;0,059400
fetch-161;0,058327
fetch-162;0,058548
fetch-163;0,057332
fetch-164;0,061370
fetch-165;0,056305
fetch-166;0,058018
fetch-167;0,057222
fetch-168;0,059717
fetch-169;0,058710
fetch-170;0,058491
fetch-171;0,059778
fetch-172;0,058694
fetch-173;0,057731
fetch-174;0,059025
fetch-175;0,056512
fetch-176;0,057785
fetch-177;0,057958
fetch-178;0,059947
fetch-179;0,055783
fetch-180;0,058544
fetch-181;0,057178
fetch-182;0,061558
fetch-183;0,057085
fetch-184;0,063813
fetch-185;0,056678
fetch-186;0,059075
fetch-187;0,058238
fetch-188;0,056523
fetch-189;0,058462
fetch-190;0,060893
fetch-191;0,060235
fetch-192;0,059609
fetch-193;0,056242
fetch-194;0,058284
fetch-195;0,057046
fetch-196;0,065829
fetch-197;0,057650
fetch-198;0,059165
fetch-199;0,058322
fetch-200;0,059423
fetch-201;0,060176
fetch-202;0,056376
fetch-203;0,066528
fetch-204;0,068920
fetch-205;0,070130
fetch-206;0,058360
fetch-207;0,064489
fetch-208;0,058980
fetch-209;0,061824
fetch-210;0,061530
fetch-211;0,059215
fetch-212;0,068005
fetch-213;0,067740
fetch-214;0,058219
